id,primary_name,location,last_status_check_time,total.dois,current.dois
297,Springer Nature,233 Spring St. Attn: Joerg Schreiber New York NY 10013 United States,2018-04-04,10180248,890478
311,Wiley-Blackwell,111 River Street Hoboken NJ 07030 United States,2018-04-04,8442794,535113
301,Informa UK Limited,"Informa UK Limited,Purchase Ledger Department PO Box 7044,Sheepen Place P.O. Box 7044 Colchester CO3 3WQ United Kingdom",2018-04-04,4371556,341825
286,Oxford University Press (OUP),Academic Division Journals Great Clarendon Street Great Clarendon Street Oxford OX2 6DP United Kingdom,2018-04-04,3168344,251355
179,SAGE Publications,2455 Teller Road Thousand Oaks CA 91320 United States,2018-04-04,2102183,139926
316,American Chemical Society (ACS),"CAS, a division of the American Chemical Society 2540 Olentangy River Road Columbus Ohio 43210 United States",2018-04-04,1503782,106455
56,Cambridge University Press (CUP),The Edinburgh Bldg Shaftesbury Rd Shaftesbury Rd Cambridge CB2 2RU United Kingdom,2018-04-04,1442370,62137
339,Springer Nature,233 Spring St. Attn: Joerg Schreiber New York NY 10013 United States,2018-04-04,1395059,126291
374,Walter de Gruyter GmbH,Genthiner Strabe13 Berlin D-10785 Germany,2018-04-04,902814,73596
239,BMJ,BMA House Tavistock Square Tavistock Square London WC1H 9JP United Kingdom,2018-04-04,849961,54889
317,AIP Publishing,1305 Walt Whitman Road Suite 300 Suite 300 Melville NY 11747 United States,2018-04-04,731618,42290
16,American Physical Society (APS),1 Research Rd Attn: Robert Kelly Attn: Mark Doyle Ridge 11961-9000 United States,2018-04-04,624115,39189
292,Royal Society of Chemistry (RSC),"Thomas Graham House Science Park, Milton Rd Science Park, Milton Rd Cambridge CB4 0WF United Kingdom",2018-04-04,520660,53981
320,Association for Computing Machinery (ACM),"2 Penn Plaza, Suite 701 New York NY 10121-0701 United States",2018-04-04,398011,33171
2457,Trans Tech Publications,Reinhardstrasse 18 8808 Zurich CH-8008 Switzerland,2018-04-04,374441,14582
127,S. Karger AG,Allshwilerstrasse 10 Attn: Mr. Mike Duerst Attn: Mike Duerst Basel CH-4009 Switzerland,2018-04-04,360705,11754
219,World Scientific Pub Co Pte Lt,No 5 Toh Tuck Link 596224 Singapore,2018-04-04,357626,41226
140,Emerald,"Howard House, Wagon Lane Bingley Bingley West Yorkshire BD16 1WA United Kingdom",2018-04-04,350539,36691
530,FapUNIFESP (SciELO),"FAP-UNIFESP Rua Machado Bittencourt, 430 Rua Dr.Diogo de Faria, 1087 - 80 andar Sao Paulo SP 04044-001 Brazil",2018-04-04,329863,31360
221,American Association for the Advancement of Science (AAAS),1200 New York Avenue NW Washington DC 20005 United States,2018-04-04,280839,13455
1387,American Institute of Aeronautics and Astronautics (AIAA),1801 Alexander Bell Drive 1801 Alexander Bell Drive Reston 20191 United States,2018-04-04,252085,13281
340,Public Library of Science (PLoS),"Accounts Payable 1160 Battery Street, Suite 100 1160 Battery Street, Suite 100 San Francisco CA 94111 United States",2018-04-04,233526,49173
33,ASME International,Two Park Avenue New York NY 10016-5990 United States,2018-04-04,230908,20713
250,EDP Sciences,17 av. du Hoggar PA de Courtaboeuf BP 112 PA de Courtaboeuf BP 112 Les Ulis cedex A 91944 France,2018-04-04,221531,21864
137,Pleiades Publishing Ltd,Profsoyusnaya St. 90 Moscow 117997 Russian Federation,2018-04-04,219887,30419
2560,"Faculty of 1000, Ltd.",Middlesex House 34-42 Cleveland St. 34-42 Cleveland St. London W1T 4LB United Kingdom,2018-04-04,197792,24404
13,American Geophysical Union (AGU),2000 Florida Ave NW Washington 20009 United States,2018-04-04,189875,14160
155,Canadian Science Publishing,65 Auriga Drive Suite 203 Suite 203 Ottawa ON K2E 7W6 Canada,2018-04-04,185040,5696
50,Brill Academic Publishers,Plantijnstraat 2 PO Box 9000 PO Box 9000 PA Leiden 2300 Netherlands,2018-04-04,180382,11552
98,Hindawi Limited,"3rd Floor, Adam House 1 Fitzroy Square London W1T 5HE United Kingdom",2018-04-04,178677,21599
235,American Society for Microbiology,1752 N Street NW Washington 20036-2904 United States,2018-04-04,170355,13232
24,American Physiological Society,9650 Rockville Pike Bethesda 20814-3991 United States,2018-04-04,166902,5794
1968,MDPI AG,Postfach Basel CH-4005 Switzerland,2018-04-04,145316,75468
329,International Union of Crystallography (IUCr),2 Abbey Sq Chester Chester Cheshire CH1 2HU United Kingdom,2018-04-04,142782,6375
341,Proceedings of the National Academy of Sciences,"500 Fifth Street, NW NAS 345 Suite 450 Washington DC 20001 United States",2018-04-04,136974,8036
28,American Society for Biochemistry & Molecular Biology (ASBMB),"11200 Rockville Pike, Suite 302 Suite 302 Rockville MD 20852 United States",2018-04-04,112224,4812
80,The Endocrine Society,2055 L Street NW Suite 600 Attn: Maggie Haworth/Publications Suite 600 Washington 20036 United States,2018-04-04,111629,2565
2399,OpenEdition,Technopole de Chateau Gombert 22 Rue John Maynard Keynes Bat C 3 Place Victor Hugo - agence comptable Marseille 13013 France,2018-04-04,109285,12951
288,Portland Press Ltd.,Charles Darwin House 12 Roger St. 12 Roger St. London WC1N 2JU United Kingdom,2018-04-04,108827,2094
4194,Consortium Erudit,University of Montreal 3744 rue Jean-Brillant 3744 rue Jean-Brillant Montreal H3T 1P1 Canada,2018-04-04,95151,2004
1965,Frontiers Media SA,EPFL Innovation Park Building I CH – 1015 Lausanne 1015 Switzerland,2018-04-04,94902,37869
5130,Mark Allen Group,St. Jude's Church Dulwich Road Dulwich Road London DE24 0PB United Kingdom,2018-04-04,86171,10608
175,The Royal Society,6 Carlton House Terrace London SWIY 5AG United Kingdom,2018-04-04,85601,6148
3145,Copernicus GmbH,Bahnhofsalle 1e Gottingen 37081 Germany,2018-04-04,81236,18967
1757,John Benjamins Publishing Company,P.O. Box 36224 Amsterdam NL 1020 ME Netherlands,2018-04-04,71802,5253
77,The Electrochemical Society,"65 South Main St, Pennington 8534 United States",2018-04-04,71358,5011
416,Bioscientifica,"Euro House 22 Apex Court, Woodlands 22 Apex Court, Woodlands Bradley Stoke, Bristol BS32 4JT United Kingdom",2018-04-04,66294,7979
345,Microbiology Society,12 Roger Street 12 Roger Street London WC1N 2JU United Kingdom,2018-04-04,59523,3517
291,Rockefeller University Press,950 Third Avenue 2nd floor 2nd Floor New York NY 10022 United States,2018-04-04,58467,1505
1574,Atlantis Press,29 Avenue Laumiere Paris 75019 France,2018-04-04,58280,23173
186,Society of Exploration Geophysicists,8801 S. Yale Ave. Suite 500 Suite 500 Tulsa OK 74137 United States,2018-04-04,57105,5680
246,Cold Spring Harbor Laboratory,500 Sunnyside Blvd Woodbury 11797 United States,2018-04-04,57023,21892
19,American Thoracic Society,25 Broadway 18th Floor 18th Floor New York NY 10004-1012 United States,2018-04-04,52319,2885
3774,IntechOpen,IntechOpen d.o.o. Janeza Trdine 9 VAT: HR71692491655 Rijeka 51000 Croatia,2018-04-04,50912,8549
281,MIT Press - Journals,One Rogers Street Cambridge MA 02142-1209 United States,2018-04-04,44280,4988
1931,Edinburgh University Press,The Tun - Holyrood Road 12 (2f) Jacksonâs Entry 12 (2f) Jackson's Entry Edinburgh EH8 8PJ United Kingdom,2018-04-04,42118,4718
1627,Allerton Press,MAIK Profsoyusnaya St. 90 Profsoyusnaya St. 90 Moscow 117997 Russian Federation,2018-04-04,36957,5424
45,British Institute of Radiology,48-50 St. John Street Accounts Payable London EC1M 4DG United Kingdom,2018-04-04,35671,1341
2060,Baishideng Publishing Group Inc.,7901 Stoneridge Drive Suite 501 Pleasanton CA 94588 United States,2018-04-04,32617,2899
1754,Journal of Neurosurgery Publishing Group (JNSPG),One Morton Drive Suite 200 Suite 200 Charlottesville VA 22903 United States,2018-04-04,32342,2658
138,Maney Publishing,"Informa UK Limited,Purchase Ledger Department PO Box 7044,Sheepen Place P.O. Box 7044 Colchester CO3 3WQ United Kingdom",2018-04-04,32092,223
7437,IOS Press,Corso di Porta Romana 108 Milano 20121 Italy,2018-04-04,31672,11329
3197,Informa Healthcare,"Informa UK Limited,Purchase Ledger Department PO Box 7044,Sheepen Place P.O. Box 7044 Colchester CO3 3WQ United Kingdom",2018-04-04,30946,109
1881,Geological Society of London,"Brassmill Lane, Enterprise Center Unit 7 Unit 7 Bath BA1 3JN United Kingdom",2018-04-04,30902,1187
2487,The American Association of Immunologists,1451 Rockville Pike Suite #650 Rockville MD 20852 United States,2018-04-04,29406,1868
237,The Company of Biologists,"Bidder Building, Station Road Station Road/Histon Histon CB24 9LF United Kingdom",2018-04-04,28287,3820
1057,Future Medicine Ltd,"Unitec House, 3rd Floor 2 Albert Place, Finchley Central 2 Albert Place, Finchley Central London N3 1QB United Kingdom",2018-04-04,26430,4010
1960,National Bureau of Economic Research,1050 Massachusetts Ave Cambridge MA 2138 United States,2018-04-04,24872,2258
1310,American Speech Language Hearing Association,2200 Research Boulevard Rockville MD 20850-3289 United States,2018-04-04,24862,2395
4068,National Institute of Standards and Technology (NIST),"100 Bureau Drive, MS 2500 MS2500 Gaithersburg MD 20899-2500 United States",2018-04-04,24616,432
2580,AOSIS,Postnet Suite 110 Private Bag X19 Private Bag 22 Durbanville 7550 South Africa,2018-04-04,24284,2449
3103,Foundation of Computer Science,244 5th Avenue #1526 #1526 New York NY 10001 United States,2018-04-04,22536,4506
1861,Bangladesh Journals Online (JOL),2/3 Cambridge Terrace Oxford OX1 1RR United Kingdom,2018-04-04,21163,5291
1560,Indiana University Press,"Office of Scholarly Publishing, Wells Library 350 1320 E 10th Street 1320 East Tenth Street Bloomington IN 47405-3907 United States",2018-04-04,19607,1348
36,American Society for Pharmacology & Experimental Therapeutics (ASPET),9650 Rockville Pike Attn: Richard Dodenhoff Attn: Richard Dodenhoff Bethesda 20814-3995 United States,2018-04-04,17697,1128
2258,Pensoft Publishers,Geo Milev St. No. 13a Sofia 1111 Bulgaria,2018-04-04,17575,10638
910,Mathematical Sciences Publishers,"Mathematical Sciences Publishers University of California, 795 Evans Hall #3840 University of California Berkley CA 94720-3840 United States",2018-04-04,16836,1303
1939,University of Wisconsin Press,1930 Monroe Street 3rd Floor 3rd Floor Madison 53711 United States,2018-04-04,16022,696
1670,Nepal Journals Online (JOL),2/3 Cambridge Terrace Oxford OX1 1RR United Kingdom,2018-04-04,13618,3261
4443,PeerJ,PO Box 910224 San Diego CA 92191 United States,2018-04-04,13475,7375
3285,"Ubiquity Press, Ltd.",6 Windmill Street London W1T 2JB United Kingdom,2018-04-04,12629,3268
6225,Co. Ltd. Ukrinformnauka,Volodimirska Str. 45 Kyiv 01030 Ukraine,2018-04-04,12040,4578
2863,International Association for Food Protection,6200 Aurora Ave. Suite200W Suite200W Des Moines 50322 United States,2018-04-04,11745,553
426,Equinox Publishing,415 The Workstation 15 Paternoster Row 3 Lancaster St. Sheffield S1 2BX United Kingdom,2018-04-04,11323,1633
2637,New Prairie Press,2100 Milvia Street Suite 300 Suite 300 Berkeley CA 94704 United States,2018-04-04,11225,568
86,FASEB,9650 Rockville Pike Bethesda 20814-3998 United States,2018-04-04,11104,1120
1076,American Society for Cell Biology (ASCB),8120 Woodmont Ave Suite 750 Suite 750 Bethesda 20814-2762 United States,2018-04-04,10284,900
629,Mohr Siebeck,Wilhelmstrasse 18 Tubingen D-72074 Germany,2018-04-04,9639,1363
2209,Vilnius Gediminas Technical University,"Sauletekio al. 11, LT-10223 Vilnius Lithuania",2018-04-04,9564,1806
2473,Sri Lanka Journals Online (JOL),2/3 Cambridge Terrace Oxford OX1 1RR United Kingdom,2018-04-04,9368,1890
171,Royal College of Surgeons of England,35-43 Lincoln's Inn Field London WC2A 3PE United Kingdom,2018-04-04,9252,883
102,Health Affairs (Project Hope),"7500 Old Georgetown Road, Suite 600 Bethesda MD 20814-6133 United States",2018-04-04,9176,766
2641,"Future Science, LTD","Unitec House, 2 Albert Place Finchley Central Finchley Central London N3 1QB United Kingdom",2018-04-04,8588,1472
3820,Stellenbosch University,Victoria Street Stellenbosch South Africa,2018-04-04,8501,1764
4034,UNED - Universidad Nacional de Educacion a Distancia,"REGISTRO GENERAL c/Bravo Murillo, 38 Planta Madrid 28015 Spain",2018-04-04,8394,1528
3842,Cellule MathDoc/CEDRAM,Technikerstr. 21a BP74 Innsbruck 6020 Austria,2018-04-04,7674,265
1112,American Accounting Association,9009 Town Center Parkway Lakewood Ranch FL 34202 United States,2018-04-04,7448,1114
1010,JMIR Publications Inc.,59 Winners Circle Toronto ON M4L3Y7 Canada,2018-04-04,7105,4335
11723,University of Alberta Libraries,"2-10H Cameron Library, University of Alberta Edmonton AB T6G 2J8 Canada",2018-04-04,6555,1149
6535,EDIPUCRS,Av. Ipiranga 6681 - Predio 33 Av. Ipiranga 6681 - Predio 01 - sala 107 Porto Alegre Rio Grande do Sul 90619-900 Brazil,2018-04-04,5428,1902
2029,"Cognizant, LLC",18 Peekskill Hollow Rd. Putnam Valley NY 10579 United States,2018-04-04,5385,898
1756,American Society of Neuroradiology (ASNR),2210 Midwest Road Suite 205 Suite 205 Oakbrook IL 60523 United States,2018-04-04,5271,920
8859,Wageningen Academic Publishers,P.O. Box 220 NL-6700 AE NL-6700 AE Wageningen Netherlands,2018-04-04,5198,1008
8087,Maxwell Scientific Publication Corp.,1562 Ocean Avenue Apt. # 5D Brooklyn NY 11230 United States,2018-04-04,5130,648
4374,"eLife Sciences Organisation, Ltd.",24 Hills Road Cambridge CB2 1JP United Kingdom,2018-04-04,5063,2751
7995,European Centre for Disease Control and Prevention (ECDC),Gustav IIIs Boulevard 40 Solna 16973 Sweden,2018-04-04,4652,466
1987,Royal College of General Practitioners,30 Euston Square 30 Euston Square London NW1 2FB United Kingdom,2018-04-04,4435,961
3356,Latin America Journals Online,2/3 Cambridge Terrace Oxford OX1 1RR United Kingdom,2018-04-04,4343,2071
5326,Finnish Society of Forest Science,Viikinkaari 6 Helsinki 00790 Finland,2018-04-04,4329,123
4950,"F1000 Research, Ltd.","Middlesex House, 34-42 Cleveland St. London W1T 4LB United Kingdom",2018-04-04,4316,2346
3277,Hamad bin Khalifa University Press (HBKU Press),"PO Box 5825 Education City, Villa 3 Education City, Villa 3 Doha Qatar",2018-04-04,4169,460
1220,American Society of Parasitologists,Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States,2018-04-04,4161,227
6082,Oles Honchar Dnipropetrovsk National University,Flangovaya Str. 7/2 Dnipropetrovsk Dnipropetrovsk Region 49035 Ukraine,2018-04-04,3998,2444
2086,Beilstein Institut,Trakehner Strasse 7-9 Frankfurt am Main D-60487 Germany,2018-04-04,3862,1114
2085,Linguistic Society of America,"522 21 St. NW, Suite 120 Room 32-D808 Washington DC 20006 United States",2018-04-04,3766,403
4421,UiT The Arctic University of Norway,University Library UB-bygget Tromso NO-9027 Norway,2018-04-04,3763,302
1054,International Phycological Society,c/o Alliance Communications Group 810 E 10th St 810 E 10th St Lawrence 66044 United States,2018-04-04,3684,164
7446,SciPress Ltd,Seestrasse 24c Bach CH-8806 Switzerland,2018-04-04,3330,521
3430,University of Debrecen/ Debreceni Egyetem,Egyetem ter 1 Debrecen 4032 Hungary,2018-04-04,3277,819
79,EMBO,C/O Wiley VCH-Verlag Boschstrasse 12 Boschtrasse 12 - (Cate Livingston) Weinheim 69469 Germany,2018-04-04,3198,1309
1689,US Geological Survey,640 Grassmere Park Suite 100 Mail Stop 119 Nashville TN 37211 United States,2018-04-04,3195,750
2720,Open Publishing Association,111 Cooper Street Waterloo NSW 2017 Australia,2018-04-04,2979,700
7274,"Touch Digital Media, Ltd.",The White House Mill Road Goring-on-Thames Goring-on-Thames Reading West Berkshire RG8 9DD United Kingdom,2018-04-04,2853,197
3097,"University of Technology, Sydney (UTS)",PO Box 123 Broadway Broadway NSW 2007 Australia,2018-04-04,2732,351
2725,Global Science Press,"FSC 1102, Fong Shu Chuen Blg. Hong Kong Baptist University Hong Kong Baptist University Kowloon Tong Hong Kong",2018-04-04,2671,659
11882,Modestum Limited,Suite 124 Challenge House 616 Mitcham Road Croydon CRO 3AA United Kingdom,2018-04-04,2579,1244
5546,"Biology Centre, AS CR",New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,2518,196
10164,Open Library of the Humanities,Salisbury House Station Road Cambridge CB1 2LA United Kingdom,2018-04-04,2377,414
8817,Virginia Tech Libraries,560 Drillfield Dr. Blacksburg VA 24061 United States,2018-04-04,2334,128
5872,McMaster University Library Press,"McMaster University Library, L110 Mills Library 1280 Main Street 1280 Main Street W W. Hamilton L8S 4L6 Canada",2018-04-04,2280,201
23,American Pharmacists Association,2215 Constitution Avenue NW Washington DC 20037 United States,2018-04-04,2228,683
242,CABI Publishing,"CAB International Attn: Andrea Powell Nosworthy Way, Wallingford Nosworthy Way, Wallingford Oxon OX1O 8DE United Kingdom",2018-04-04,2187,236
3462,Acta Physica Polonica B Editorial Office,"Acta Physica Polonica B, Jagiellonian University ul. Golebia 24 ul. Golebia 24 Krakow 31-007 Poland",2018-04-04,2091,429
3816,Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA),"Mar Capitan, Technical Editor Ctra. Coruna, Km 7,5 Ctra. de La Coruna km 7,5 Madrid 28040 Spain",2018-04-04,2073,284
8257,CIRAD (Centre de Cooperation Internationale en Recherche Agronomique Pour le Developpement),TA183/05 - Avenue Agropolis Montpellier cedex 5 34398 France,2018-04-04,1997,91
191,Swets & Zeitlinger Publishers,"Informa UK Limited,Purchase Ledger Department PO Box 7044,Sheepen Place P.O. Box 7044 Colchester CO3 3WQ United Kingdom",2018-04-04,1990,0
1709,Ediciones Profesionales de la Informacion SL,P.O. Box 32280 VAT: ESB63664544 Barcelona 8080 Spain,2018-04-04,1826,348
7758,Saratov State University,"Bld. 1, 46 Myasnitskaya Str. Moscow 101000 Russian Federation",2018-04-04,1767,1123
3910,University Press of Colorado,5589 Arapahoe Avenue Suite 206C Suite 206C Boulder CO 80303 United States,2018-04-04,1693,421
2218,Australian Museum,1 William Street Sydney 2010 Australia,2018-04-04,1638,32
4923,Open Book Publishers,40 Devonshire Road Cambridge United Kingdom,2018-04-04,1540,520
6226,Universidad de Navarra,Edificio Biblioteca - Campus Universitario Pamplona Navarra 31009 Spain,2018-04-04,1402,763
7461,Universidad Icesi,Calle 18 No. 122-135 Cali Valle del Cauca 760008 Colombia,2018-04-04,1396,230
7770,Knowledge E,"Office 910, X3 Tower, J&T PO Box 488239 Dubai United Arab Emirates",2018-04-04,1354,1103
3840,Western Journal of Emergency Medicine,"333 The City Boulevard West Suite 640, Rt. 128-01 Suite 640, Rt. 128-01 Orange CA 92868 United States",2018-04-04,1353,513
8013,Institute of Education Press,23-29 Emerald Street London WC1N 3QS United Kingdom,2018-04-04,1350,211
1941,Leibniz-Institute for Psychology Information (ZPID),Universitatsring 15 Trier 54296 Germany,2018-04-04,1343,352
11818,Duke University Libraries,Box 90196 Durham NC 27708-0196 United States,2018-04-04,1335,547
26601,Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi,Tubitak Ulakbim Yok Binasi B5 Blok 2 kat Ankara 06539 Turkey,2018-04-04,1335,9
5638,Samara State Technical University,244 Molodogvardeyskay St. Samara 443100 Russian Federation,2018-04-04,1302,46
5786,Uluslararasi Insan Bilimleri Dergisi,"Libade Cd. Camlica Site Yolu Sk. No: 97 Da: 35, Fetih Mah., Atesehir Da:35, Fetih Mah. Istanbul 34704 Turkey",2018-04-04,1284,744
2057,Szczecinskie Towarzystwo Naukowe,Szczecinskie Towarzystwo Naukowe al. Wojska Polskiego 96 al. Wojska Polskiego 96 Szczecin 71-481 Poland,2018-04-04,1224,86
9051,JVE International Ltd.,Lygybes g. 21 Kaunas LT-51379 Lithuania,2018-04-04,1221,1221
4851,Chimera Innova Group,Las Siete Plazas 32 La Florida Santiago Chile,2018-04-04,1194,1043
2230,Philippines Journals Online (PhilJOL),C/O INASP 60 St. Aldates Oxford OX1 1ST United Kingdom,2018-04-04,1168,0
6601,Stockholm University Press,6 Windmill Street London W1T 2JB United Kingdom,2018-04-04,1119,189
259,Guttmacher Institute,125 Maiden Lane 7th Floor 7th Floor New York 10038 United States,2018-04-04,1109,113
5308,Veterinary World,"Star, Gulshan Park, NH 8A Chandrapur Road, Wankaner Chandrapur Road, Wankaner Gurjarat Rajkot 363621 India",2018-04-04,1108,495
1015,Morgan & Claypool Publishers LLC,"1210 Fifth Avenue, Suite 250 San Rafael CA 94901 United States",2018-04-04,1046,148
1942,Botanic Garden & Botanical Museum Berlin-Dahlem BGBM,Koningin-Louise-Str. 6-8 Berlin D-14145 Germany,2018-04-04,1043,93
5113,Central Bohemia University,Pod Vodarenskou vezi 4 Praha 8 18200 Czech Republic,2018-04-04,1007,394
1989,Co-Action Publishing,RipvÃ¤gen 7 Jarfalla 17564 Sweden,2018-04-04,996,9
4946,Singapore Medical Journal,2 College Road Alumni Medical Centre Level 2 Alumni Medical Centre Level 2 Singapore 169850 Singapore,2018-04-04,996,306
6268,SPIIRAS,"39, 14 line St. Petersburg 199178 Russian Federation",2018-04-04,972,150
5804,"Revista Investigaciones Geograficas, Boletin",Circuito Exterior s/n Cd. Universitaria Deleg. Coyoacan 4510 Mexico,2018-04-04,953,161
3161,Association of Lithuanian Serials,Sauletekio al. 11 Vilnius LT-10223 Lithuania,2018-04-04,884,229
7618,International Information and Engineering Technology Association,#2020 Scotia Place Tower One 10060 Jasper Avenue Edmonton AB T5J 3R8 Canada,2018-04-04,867,532
7870,Universidad Externado de Colombia,Metrobiblioteca SAS Carrera 68 N. 169A 34 Bogata Colombia,2018-04-04,856,595
11940,Turk Noropsikiyatri Dernegi,Ziya Gukalp cad. 30/31 Kizilay Ankara 6420 Turkey,2018-04-04,848,258
3566,Mongolian Journals Online,2/3 Cambridge Terrace Oxford OX1 1RR United Kingdom,2018-04-04,845,242
6161,Aleksandras Stulginskis University,Sauletekio al. 11 Vilnius LT-10223 Lithuania,2018-04-04,822,410
11864,Independent Medical Trust,175 Jinah Colony Faisalabad Punjab 38000 Pakistan,2018-04-04,808,623
7680,State Institute of Islamic Studies Salatiga,Jl. Tentara Pelajar No. 2 Salatiga Central Java 50721 Indonesia,2018-04-04,793,365
11866,Revista Mexicana de Ciencias Agricolas,"INIFAP Av. Progreso #5 Barrio Santa Catarina, Del Coyoacan Mexico INI960412HUA C. P. 04010RFC Mexico",2018-04-04,783,782
5722,Research-Publishing.net,6 Brian Avenue Marino Dublin 3 Ireland,2018-04-04,765,344
5856,Antiquity Publications,"Department of Archaeology, Durham University South Road Durham University, South Road Durham DH1 3LE United Kingdom",2018-04-04,763,452
3633,Polish Society for Magnesium Research,University of Warmia Nad Mazury in Olsztyn Ul. Oczapowskiego 3 NIP: 7393033097 Olsztyn 10-759 Poland,2018-04-04,754,0
959,Logical Methods in Computer Science e.V.,c/o Stefan Milius Kleiststr. 22 Muehlenpfordtstr. 23 Braunschweig D-38124 Germany,2018-04-04,752,38
7375,Instituto de Investigaciones en Ciencias de la Salud,IICS - National University of Asuncion Asuncion San Lorenzo Paraguay,2018-04-04,729,498
9012,"Topicos, Revista de Filosofia","Universidad Panamericana Augusto Rodin 498, Insurgentes-Mixcoac Mexico City 03920 Mexico",2018-04-04,721,62
7857,Liinc em Revista,"Rua Azaleia, 399, EdifÃ­cio 3 Office, 7Âº Andar, Sala 75, Bairro ChÃ¡cara Floresta Botucatu SP 18.603-550 Brazil",2018-04-04,715,68
11853,Universitas Mataram,62 Majapahit Mataram 83125 Indonesia,2018-04-04,706,372
12228,Korean Neuropsychiatric Association,"13th Fl., Hallasignmavalley, 325 - 2Seongsudong2-ga, Seongdong-gu 325-2 Seongsudong2-ga Seoul 133-827 South Korea",2018-04-04,687,196
6951,Cogitatio,"C/o Koninklijke Bibliotheek National Library of the Netherlands, PO Box 90407 National Library of the Netherlands, PO Box 90407 The Hague 2509 LK Netherlands",2018-04-04,686,418
8307,Universidad Carlos III de Madrid,"C/Madrid, 126 Madrid 28903 Spain",2018-04-04,680,666
538,Johnson Matthey,Orchard Road Royston Herts SG8 5HE United Kingdom,2018-04-04,662,78
