id,primary_name,location,last_status_check_time,total.dois,current.dois
78,Elsevier BV,230 Park Avenue Suite 800 Shantae McGee New York NY 10169-0935 United States,2018-04-04,16105368,1486170
263,Institute of Electrical and Electronics Engineers (IEEE),445 Hoes Lane Piscataway NJ 08855-1331 United States,2018-04-04,3196252,448946
276,Ovid Technologies (Wolters Kluwer Health),100 River Ridge Drive Suite 207 333 Seventh Avenue Norwood MA 2062,2018-04-04,1820215,120939
1121,JSTOR,301 E. Liberty Suite 400 Suite 400 Ann Arbor MI 48104,2018-04-04,1759017,2867
266,IOP Publishing,Temple Circus Temple Way Temple Way Bristol BS1 6BE United Kingdom,2018-04-04,776954,83684
194,Georg Thieme Verlag KG,Ruedigerstrasse 14 Stuttgart 70469 Germany,2018-04-04,758611,62959
10,American Medical Association (AMA),330 N. Wabash Avenue Contact person: Elaine Williams Contract number: 23907 PO number: 228016 Chicago IL 60611 United States,2018-04-04,593700,12635
189,SPIE-Intl Soc Optical Eng,P.O. Box 10 Bellingham WA 98227-0010 United States,2018-04-04,492215,41460
200,University of Chicago Press,Attn:Elmars Bilsens 1427 E 60th Street Chicago IL 60637-2954 United States,2018-04-04,436402,10976
15,American Psychological Association (APA),750 First Street NE Washington 20002-4242 United States,2018-04-04,299286,10853
1963,Organisation for Economic Co-Operation and Development  (OECD),"2, rue Andre Pascal Cedex 16 Paris 75775 France",2018-04-04,284900,73005
905,Social Science Electronic Publishing,2171 Monroe Ave Suite 3 Suite 3 Rochester NY 14618 United States,2018-04-04,284535,23801
124,Japan Society of Mechanical Engineers,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,281902,7165
147,Johns Hopkins University Press,2715 N. Charles St. Attn: Nicole Kendzejeski Attn: Wendy Queen Baltimore MD 21218 United States,2018-04-04,280363,16664
285,The Optical Society,"2010 Massachusetts Ave, NW NW Washington DC 20036-1023 United States",2018-04-04,250426,24069
2000,PERSEE Program,"Persee Program, PRES Universite de Lyon Caserne Sergent Blandan, 37 rue du repos (Site Rene Descartes), 15 Parvis Rene Descartes Lyon CEDEX 07 69361 France",2018-04-04,249749,48
960,Office of Scientific and Technical Information  (OSTI),P.O. Box 62 Oak Ridge TX 37831 United States,2018-04-04,242930,7437
265,Institution of Engineering and Technology (IET),Michael Faraday House Six Hills Way Six Hills Way Stevenage Herts SG1 2AY United Kingdom,2018-04-04,221031,13658
3932,American Library Association,Christopher Keech 50 East Huron Street 50 East Huron Street Chicago IL 60611-2795 United States,2018-04-04,208904,2793
2273,CAIRN,58/60 rue des Champs B-4020 Liege B-4020 Belgium,2018-04-04,202532,11808
150,New England Journal of Medicine (NEJM/MMS),Mass Medical Society 860 Winter Street 860 Winter Street Waltham MA 2451 United States,2018-04-04,181597,2210
231,Acoustical Society of America (ASA),1305 Walt Whitman Road Suite 300 Suite 300 Melville NY 11747 United States,2018-04-04,152833,7060
278,Mary Ann Liebert Inc,140 Huguenot St. New Rochelle NY 10801-5215 United States,2018-04-04,150337,17814
7822,Test accounts,,2018-04-04,149338,35
861,Society of Petroleum Engineers (SPE),222 Palisades Creek Dr Richardson TX 75080-2040 United States,2018-04-04,147843,7053
3444,Smithsonian Institution,"PO Box 37012 MRC 154, NHB 2209 MRC 154, NHB 2209 Washington DC 20013 United States",2018-04-04,145838,31
1042,"Protein Data Bank, Rutgers University",Department of Chemistry & Chemical Biology 174 Frelinghuysen Road Piscataway NJ 08854 United States,2018-04-04,144154,21911
7763,"Protein Data Bank, Rutgers University",Dept of Chemistry and Chemical Biology174 Frelinghuysen Road 174 Frelinghuysen Road Piscataway NJ 08854 United States,2018-04-04,144154,21911
9879,Defense Technical Information Center (DTIC),"University of California Office of the President, 415 20th Street, 4th Floor Office of the President 415 20th St. 4th Floor Oakland CA 94612 United States",2018-04-04,141445,190
30,American Society of Civil Engineers (ASCE),1801 Alexander Bell Dr. Attn: Charlotte McNaughton Reston VA 20191 United States,2018-04-04,140540,13835
4499,RCN Publishing Ltd.,RCNi Accounts Payable Finance Department 20 Cavendish Square London W1G ORN United Kingdom,2018-04-04,135672,8772
3884,Philosophy Documentation Center,PO Box 7147 Charlottesville VA 22906-7147 United States,2018-04-04,131974,2266
408,University of California Press,155 Grand Avenue Suite 400 Suite 400 Oakland CA 94612 United States,2018-04-04,127194,4884
2581,Medknow,"C/O Wolters Kluwer India Pvt. Ltd (WKIPL) A-202, 2nd Floor, The Qube, C.T.S. No.1498A/2 Village MarolÃ¢ Andheri (East) Off Link Rd., Ghatkopar Mumbai 400059 India",2018-04-04,124788,23576
14,American Mathematical Society (AMS),201 Charles Street Providence 2940 United States,2018-04-04,124189,3965
1086,American Association for Cancer Research (AACR),615 Chestnut Street 17th floor 17th floor Philadelphia 19106-4404 United States,2018-04-04,118733,22307
965,Bentham Science Publishers Ltd.,"P.O. Box 294 1400 AG Bussum P.O. Box 7917, Saif Zone Netherlands",2018-04-04,118641,20235
1096,IUCN,Rue Mauverney 28 Publication Services Unit Publication Services Unit Gland 1196 Switzerland,2018-04-04,116794,30969
4498,Bohlau Verlag,Wiesingerstr. 1 Wien A-1010 Austria,2018-04-04,112632,7352
2796,SAE International,400 Commonwealth Drive Warrendale PA 15096 United States,2018-04-04,108731,6136
322,Chemical Society of Japan,5-3 Yonbancho Chiyoda-ku Tokyo 102-0081 Japan,2018-04-04,106568,1443
8597,The Chemical Society of Japan,1-5 Kanda SurugadaiChiyoda-ku Tokyo 101-8307 Japan,2018-04-04,106568,1443
3821,Nomos Verlag,Waldseestr. 3-5 Baden-Baden 76530 Germany,2018-04-04,101105,17231
73,Duke University Press,905 West Main Street #18B #18B Durham NC 27701 United States,2018-04-04,98833,4311
12,American Meteorological Society,45 Beacon Street Attn: Ken Heideman Attn: Ken Heideman Boston MA 02108 United States,2018-04-04,97638,4629
230,American Psychiatric Publishing,1000 Wilson Blvd. Suite 1825 Suite 1825 Arlington VA 22209 United States,2018-04-04,90451,2917
378,Inderscience Publishers,"World Trade Center Building 29 Route de Pre-Bois, Case postale 896 29 Route de Pre-Bois, Case postale 896 Geneva 15 CH-1215 Switzerland",2018-04-04,89496,18028
328,Japan Society of Applied Physics,"2-31-22-5F Yushima, Bunkyo-ku Bunkyo-ku Tokyo 113-0034 Japan",2018-04-04,88794,3367
67,CSIRO Publishing,Locked Bag 10 Clayton South 3169 Australia,2018-04-04,84409,4041
1696,University of Toronto Press Inc. (UTPress),5201 Dufferin St. North York ON M3H 5T8 Canada,2018-04-04,81123,3049
7834,United Nations Publications,"300 E 42nd Street, 9th Floor New York NY 10017 United States",2018-04-04,79796,12307
5267,"Vandenhoeck & Ruprecht GmbH & Co, KG",Robert-Bosch-Breite 6 Goettingen 37079 Germany,2018-04-04,77560,14720
2914,Jaypee Brothers Medical Publishing,4838/24 Ansari Road Darya Ganj Darya Ganj New Delhi 2 India,2018-04-04,72436,2215
5208,"NamesforLife, LLC",333 Albert Avenue East Lansing MI 48823 United States,2018-04-04,70126,5704
2674,OMICS Publishing Group,5716 Corsa Avenue Suite 1 Tarnaka Westlake CA 91362 United States,2018-04-04,68546,15193
7038,International Society for Horticultural Science (ISHS),Corbeekhoeve - Pastoriestraat 2 Korbeek-Lo 3360 Belgium,2018-04-04,66959,4176
233,American Society of Clinical Oncology (ASCO),2318 Mill Rd. Suite 800 Suite 800 Alexandria 22314 United States,2018-04-04,65947,6421
2751,"Scientific Research Publishing, Inc,",5005 Paseo Segovia Irvine CA 92603-3334 United States,2018-04-04,63938,10335
163,Pharmaceutical Society of Japan,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,63183,951
1577,Radiological Society of North America (RSNA),820 Jorie Blvd. Oak Brook IL 60523 United States,2018-04-04,61820,1438
2895,African Journals Online (AJOL),1 Dundas St. Grahamstown 6139 South Africa,2018-04-04,60694,7429
351,Society for Industrial & Applied Mathematics (SIAM),"3600 Market St, 6th fl Philadelphia PA 19104-2688 United States",2018-04-04,59900,3124
170,Royal College of Psychiatrists,21 Prescott Street London E1 8BB United Kingdom,2018-04-04,58622,1274
735,Thomas Telford Ltd.,One Great George Street London SW1P 3AA United Kingdom,2018-04-04,58415,3682
3979,"EMH Swiss Medical Publishers, Ltd.",Farnsburgerstrasse 8 Muttenz CH-4132 Switzerland,2018-04-04,57737,6209
7597,Brepols Publishers NV,Begijnhof 67 Turnhout 2300 Belgium,2018-04-04,57608,2704
4285,American College of Physicians,190 Independence Mall West Philadelphia 19106 United States,2018-04-04,56006,1620
17,American Scientific Publishers,26650 The Old Road Suite 208 Valencia 91381-0751 United States,2018-04-04,53576,14554
2516,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),Moneda 1375 Santiago Chile,2018-04-04,52732,6408
2249,Spandidos Publications,"Vriaxidos, 10 Athens 116 34 Greece",2018-04-04,52711,15343
2297,Science Alert,244 5th Ave. #2218 New York NY 10001 United States,2018-04-04,48983,2306
1320,Portico,100 Campus Drive Suite 100 Suite 100 Princeton NJ 8540 United States,2018-04-04,48916,626
5542,Southern Medical Association,"3500 Blue Lake Drive, Ste 360 Birmingham AL 35243 United States",2018-04-04,48889,298
1038,Japan Society of Civil Engineers,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,47815,1360
4040,Japanese Society of Radiological Technology,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,47594,185
2571,Natural Resources Canada/ESS/Scientific and Technical Publishing Services,"Office #350, 601 Booth St 6th Floor Room 622 A, 615 Booth St. Ottawa Ontario K1A 0E8 Canada",2018-04-04,46869,668
1683,Architectural Institute of Japan,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,45146,1152
22,Annual Reviews,4139 El Camino Way Palo Alto 94306 United States,2018-04-04,45048,2533
844,American Public Health Association,800 I St NW Washington 20001-3710 United States,2018-04-04,44543,1442
257,Geological Society of America,3300 Penrose Place PO Box 9140 PO Box 9140 Boulder 80301-9140 United States,2018-04-04,43177,7780
1167,American Diabetes Association,"2451 Crystal Dr., Ste. 900 Arlington VA 22202 United States",2018-04-04,42733,1974
2026,China Science Publishing & Media Ltd.,16 Donghuangchenggen North Street Beijing 100717 China,2018-04-04,41916,1163
4365,Physical Society of Japan,"2-31-22-5F Yushima, Bunkyo-ku Bunkyo-ku Tokyo 113-0034 Japan",2018-04-04,41213,1792
4873,Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,"Rua Praca do Relogio 109, Block K, 4 andar Cidade Universitaria Cidade Universitaria Sao Paulo 05508-050 Brazil",2018-04-04,40414,4496
901,American Society of Agronomy,5585 Guilford Rd. Madison 53711 United States,2018-04-04,40375,1624
3,American Association of Physics Teachers (AAPT),1305 Walt Whitman Road Suite 300 Suite 300 Melville NY 11747 United States,2018-04-04,40036,1113
6055,C.H. Beck,Wilhelmstr. 9 Muenchen BY 80801 Germany,2018-04-04,39800,5616
20,American Vacuum Society,1305 Walt Whitman Road Suite 300 Suite 300 Melville NY 11747 United States,2018-04-04,39609,1312
1697,Carl Hanser Verlag,Kolbergerstrasse 22 Muenchen 81679 Germany,2018-04-04,39433,6519
37,American Society of Plant Biologists (ASPB),15501 Monona Drive Rockville 20855-2768 United States,2018-04-04,38568,1612
27,Association for Research in Vision and Ophthalmology (ARVO),1801 Rockville Pike Suite 400 Attn: Joon Song Suite 400 Rockville MD 20852 United States,2018-04-04,38417,5278
1665,Scientific Societies,3340 Pilot Knob Road St. Paul MN 55121 United States,2018-04-04,38226,3481
101,Hogrefe Publishing Group,Langgass-Strasse 76 Berne CH-3000 Switzerland,2018-04-04,36418,3592
4359,Columbia University Press,61 West 62nd Street 61 West 62nd Street New York NY 10023 United States,2018-04-04,36364,2698
199,Turpion-Moscow Limited,"MIAN, 8 Gubkina Street Room 915 Room 915 Moscow Middlesex 119991 Russian Federation",2018-04-04,35919,971
422,Institute of Electrical Engineers of Japan (IEE Japan),New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,35687,1843
1078,National Library of Serbia,Skerliceva 1 Belgrade 11000 Serbia,2018-04-04,35457,3897
895,Dove Medical Press Ltd.,P.O. Box 300-008 Albany Albany Auckland New Zealand,2018-04-04,35386,10706
3486,Canadian Center of Science and Education,1120 Finch Avenue West Suite 701-309 Suite701-309 Toronto ON M3J 3H7 Canada,2018-04-04,35228,8037
5068,"Al Manhal FZ, LLC","Office No. 105, Bldg No. 25 Dubai Healthcare City, PO Box 505160 Dubai Healthcare City Dubai United Arab Emirates",2018-04-04,35032,6648
2099,Shanghai Institute of Optics and Fine Mechanics,Qinghe Road No. 390 No. 390 Jiading 201800 China,2018-04-04,34273,4359
3433,The Academy of Management,235 Elm Road Briarcliff Manor 10510 United States,2018-04-04,34082,4707
613,Begell House,50 Cross Highway Redding CT 06896-2404 United States,2018-04-04,33643,2097
232,American Society for Clinical Investigation,2015 Manchester Road Ann Arbor 48104 United States,2018-04-04,33264,1619
2389,EAGE Publications,PO Box 59 3900 DB Houten Netherlands,2018-04-04,33048,5021
1149,Japan Institute of Metals,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,32965,699
1747,American Dairy Science Association,1800 South Oak Street Suite 100 Suite 100 Champaign 61820 United States,2018-04-04,32559,2188
1049,American Roentgen Ray Society,44211 Slatestone Court Leesburg VA 20176 United States,2018-04-04,31851,1035
109,Institute for Operations Research and the Management Sciences (INFORMS),5521 Research Park Drive Suite 200 Suite 200 Catonsville MD 21228 United States,2018-04-04,31519,2368
4786,IOSR Journals,"Mob: 919313171903 Shri Ram Colony, Dasna Shri Ram Colony, Dasna, Ghaziabad 201015 India",2018-04-04,31076,9081
425,Akademiai Kiado Zrt.,Prielle Kornelia utca 21-35 Budapest H-1117 Hungary,2018-04-04,30983,3450
2432,IGI Global,701 E. Chocolate Ave. Suite 200 Suite 200 Hershey 17033 United States,2018-04-04,30878,6052
4001,Japanese Urological Association,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,30703,11
417,American Academy of Pediatrics (AAP),345 Park Blvd. Itasca IL 60143 United States,2018-04-04,29722,2929
962,Japanese Society of Internal Medicine,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,29685,1269
393,Society for Neuroscience,"1121 14th Street, NW Suite 1010 Suite 1010 Washington DC 20005 United States",2018-04-04,29583,2721
5183,American Society of Agricultural and Biological Engineers (ASABE),2950 Niles Rd. St. Joseph 49085 United States,2018-04-04,29533,1663
2165,Liverpool University Press,4 Cambridge St. Liverpool L69 724 United Kingdom,2018-04-04,29370,1078
2373,Departmento de Publicaciones del CSIC,"c/ Vitruvio, 8 28006 28006 Madrid Spain",2018-04-04,28624,2352
3908,Academic Journals,Box 1005 Sapele Delta 321006 Nigeria,2018-04-04,28439,4452
4687,Akademizdatcenter Nauka,Profsoyuznaia St. 90 Moscow 117997 Russian Federation,2018-04-04,28216,4082
234,American Society of Hematology,2021 L Street NW Ste 900 Suite 900 Washington D.C. 20036 United States,2018-04-04,27860,2505
3171,Scitepress,Rua Lusiadas 118 3 FRT 3 FRT Lisboa 1300-376 Portugal,2018-04-04,27781,3835
81,European Respiratory Society (ERS),442 Glossop Rd. Sheffield s10 2PX United Kingdom,2018-04-04,26290,9608
4035,Diva Enterprises Private Limited,"B-9, Block-A, LSC Naraiana Vihar, Ring Road Ring Road New Delhi 110028 India",2018-04-04,26266,10328
845,Journal of Bone and Joint Surgery,20 Pickering Street Needham MA 02492-3157 United States,2018-04-04,26142,1214
2508,"Institute of Mathematics, Polish Academy of Sciences",ul. Sniadeckich 8 Warszawa 00-656 Poland,2018-04-04,25814,604
7892,"Impact Journals, LLC",6666 East Quaker Street Orchard Park NY 14127 United States,2018-04-04,25722,16551
1253,Iron and Steel Institute of Japan,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,25360,511
2308,"SLACK, Inc.",6900 Grove Road Thorofare NJ 08086 United States,2018-04-04,25278,2908
3548,Society of Motion Picture and Television Engineers (SMPTE),3 Barker Ave. Floor 5 Fl. 5 White Plains 10601 United States,2018-04-04,25094,606
108,Institute of Mathematical Statistics,"c/o Project Euclid, Attn: Julie Doring Duke University Press, P.O. Box 90660 P.O. Box 90660 Durham NC 27708-0660 United States",2018-04-04,24999,1704
1913,Inter-Research Science Center,Nordbunte 23 Oldendorf/Luhe 21385 Germany,2018-04-04,24727,1747
532,"Institute of Electronics, Information and Communications Engineers (IEICE)",New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,24577,2683
1349,WITPRESS LTD.,Ashurst Lodge Ashurst Ashurst Lodge Southampton S0407AA United Kingdom,2018-04-04,24319,2250
903,Soil Science Society of America,5585 Guilford Rd. Madison 53711 United States,2018-04-04,24248,370
4759,University of Pennsylvania Press,3905 Spruce Street Philadelphia PA 19104 United States,2018-04-04,24192,1948
2,American Association of Petroleum Geologists AAPG/Datapages,1444 South Boulder Tulsa 74119 United States,2018-04-04,23225,473
100,Human Kinetics,1607 N. Market Street Champaign IL 61820 United States,2018-04-04,23187,3296
4694,Sciencedomain International,"UGF, DLF City Phase III Gurgaon Delhi NCR 122001 India",2018-04-04,23062,6324
381,ASTM International,100 Barr Harbor Drive PO Box C700 PO Box C700 W. Conshohoken 19428-2959 United States,2018-04-04,22089,1084
2793,INIST-CNRS,Deptartment des Affaires Generales 2 Allee du Parc de Brabois - CS10310 2 Allee du Parc de Brabois - CS10310 Vandoeuvre-les-Nancy cedex 54519 France,2018-04-04,22048,749
866,Japan Society for Analytical Chemistry,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,22018,460
9588,Sissa Medialab,Via Bonomea 265 VAT N. IT01097780322 Trieste 34136 Italy,2018-04-04,21942,4395
902,Crop Science Society of America,5585 Guilford Rd. Madison 53711 United States,2018-04-04,21846,554
4913,Magnolia Press,PO Box 41383 Auckland New Zealand,2018-04-04,21796,7436
2291,Japan Surgical Association,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,21744,394
970,Water Environment Federation,601 Wythe Street Alexandria VA 22314 United States,2018-04-04,21209,1051
945,IWA Publishing,Alliance House 12 Caxton Street 12 Caxton Street London SW1H OEX United States,2018-04-04,21073,3169
909,Biophysical Society of Japan,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,20771,161
5371,Science and Engineering Research Support Society,"2nd Floor, 542-1 Pyeongchon-Dong Daedeok-Gu Daejeon South Korea",2018-04-04,20645,8074
558,World Bank,Mayya Revzina 1818 H Street NW 1818 H Street NW Washington DC 20433 United States,2018-04-04,20237,3462
3785,Universidade Federal do Parana,"Rua Azaleia, 399, EdifÃ­cio 3 Office, 7Âº Andar, Sala 75, Bairro ChÃ¡cara Floresta Botucatu SP 18.603-550 Brazil",2018-04-04,20237,3465
1762,Lavoisier,14 rue de Provigny Cachan cedex 94236 France,2018-04-04,20075,1796
358,Intellect,"The Mill, Parnall Road Fishponds - Bristol BS16 3JG United Kingdom",2018-04-04,19974,3649
2023,Ankara University,"Tandogan Yerleskesi Ogrenme Merkezi Dogol Caddesi, Tandogan Dogol Caddesi, Tandogan Ankara 6100 Turkey",2018-04-04,19764,695
294,"Science China Press., Co. Ltd.",16 Donghuangchenggen North St. Attn: Baoqing Wang Attn: Baoqing Wang Beijing 100717 China,2018-04-04,19743,1984
269,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,19691,47
1290,University of Arizona,1510 E. University Tucson 85721-8276 United States,2018-04-04,19684,150
4802,Verlag Dr. Otto Schmidt,Gustar-Heinemann-Ufer 58 Koln 50968 Germany,2018-04-04,19675,4126
1643,Association for Computational Linguistics (ACL),209 N. Eighth Street Stroudsburg PA 18360 United States,2018-04-04,19415,2222
2942,Tokyo Geographical Society,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,18489,58
42,British Editorial Society of Bone & Joint Surgery,22 Buckingham St. London WC2N 6ET United Kingdom,2018-04-04,18218,1213
112,Institute of Southeast Asian Studies,30 Heng Mui Keng Terrace Singapore 119614 Singapore,2018-04-04,18134,763
4434,Cornell University Press,Sage House 512 E. State St. 750 Cascadilla St. Ithaca NY 14851 United States,2018-04-04,17418,10681
2795,American Society of Tropical Medicine and Hygiene,One Parkview PlazaSuite 800 Suite 100 Oakbrook Terrace IL 60181 United States,2018-04-04,17258,1270
5106,Infra-M Academic Publishing House,31B Polyarnaya Str. Moscow 12782 Russian Federation,2018-04-04,17125,6827
846,Ceramic Society of Japan,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,17097,299
3587,The Society of Practical Otolaryngology,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,17054,346
2549,PAGEPress Publications,"MEDIT SNC, Attn. PAGEPress Publications Via Giuseppe Belli 4 Via Giuseppe Belli 4 Pavia 27100 Italy",2018-04-04,17048,2609
1155,Japanese Society of Fisheries Science,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,17043,348
298,"Society of Polymer Science, Japan",New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,16748,104
2345,"Oto-Rhino-Laryngological Society of Japan, Inc.",New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,16654,375
8112,Common Ground Research Networks,2001 South First StreetSuite 202 Champaign IL 61820 United States,2018-04-04,16471,1033
2364,Japan Institute of Heterocyclic Chemistry,"1-7-17, Motoakasaka Minato-ku Minato-ku Tokyo 107-0051 Japan",2018-04-04,16330,328
3029,International Monetary Fund (IMF),700 19th St. NW Washington D.C. 20431 United States,2018-04-04,16247,961
350,"Society of Chemical Engineers, Japan",New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,16165,269
181,Schweizerbart,Johannesstr 3A Stuttgart D-70176 Germany,2018-04-04,16104,1426
1346,Japan Society for Precision Engineering,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,15979,345
5471,Transcript Verlag,Hermannstrasse 26 Bielefeld 33602,2018-04-04,15852,7254
252,Environmental Health Perspectives,EC-15 NIEHS NIEHS PO Box 12233 - Research Triangle Pk 27709-2233 United States,2018-04-04,15842,507
122,Japanese Society of Veterinary Science,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,15824,480
2731,Steklov Mathematical Institute,Gubkina Str. 8 Moscow 119991 Russian Federation,2018-04-04,15672,858
332,Japanese Pharmacological Society,New Road Oxford Oxford OX2 1BG United Kingdom,2018-04-04,15179,121
3104,"Editora Edgard Blucher, Ltda.","Rua Pedroso Alvarenga 1245, 4 Andar 1245, 4 Andar Sao Paolo 04531-012 Brazil",2018-04-04,14507,6265
2321,American Institute of Mathematical Sciences (AIMS),Room 216 15 Fuxing Road Beijing 100038,2018-04-04,14495,3141
2868,Instituto de Salud Carlos III/BNCS/SciELO Espana,"c/Sinesio Delgado 8, pabellon 8 Madrid C.P.28029 Spain",2018-04-04,14411,8
3948,GN1 Genesis Network,"Rua Getulio Vargas, 501 Sala 13, 2 Andar - Centro Sala 132º andar - Centro Sao Joao da Boa Vista CEP 13870-100 Brazil",2018-04-04,14344,3043
