grid_id_consolidated,pub_id
grid.4488.0,743b20f7
grid.417834.d,743b20f7
grid.5252.0,743b20f7
grid.424247.3,743b20f7
grid.411984.1,743b20f7
grid.419548.5,743b20f7
grid.418140.8,743b20f7
grid.470125.5,743b20f7
grid.419522.9,1424e263
grid.46699.34,8bb911c1
grid.13648.38,8bb911c1
grid.46699.34,8bb911c1
grid.7450.6,8bb911c1
grid.418140.8,70defa38
grid.418140.8,70defa38
grid.5252.0,83ea18e1
grid.5252.0,83ea18e1
grid.4495.c,824072b
grid.4830.f,824072b
not_in_grid,a678353f
grid.413575.1,a678353f
grid.418140.8,a678353f
grid.10392.39,a678353f
grid.5252.0,a678353f
grid.261284.b,a678353f
grid.25879.31,a678353f
grid.144532.5,a678353f
grid.5252.0,147a6228
grid.5252.0,147a6228
grid.418140.8,d351820b
grid.419522.9,9d61e41b
grid.411984.1,9d61e41b
NA,9d61e41b
grid.424247.3,9d61e41b
grid.411760.5,9d61e41b
grid.419522.9,9d61e41b
grid.411984.1,9d61e41b
grid.411984.1,9d61e41b
grid.428937.3,9d61e41b
NA,9d61e41b
grid.10423.34,9d61e41b
grid.419522.9,9d61e41b
grid.414603.4,9d61e41b
grid.418140.8,365d54f9
grid.8385.6,365d54f9
grid.411327.2,365d54f9
NA,365d54f9
grid.418140.8,365d54f9
grid.7450.6,365d54f9
grid.418140.8,365d54f9
grid.5252.0,c48b2987
grid.5252.0,c48b2987
grid.411984.1,148bb96b
NA,148bb96b
grid.418140.8,58dd50c7
grid.418140.8,58dd50c7
grid.7450.6,58dd50c7
grid.418140.8,58dd50c7
grid.7450.6,58dd50c7
NA,58dd50c7
grid.7450.6,f424decb
grid.418227.a,f424decb
grid.418140.8,f3f02a5b
grid.7450.6,5018e63a
grid.434729.f,5018e63a
grid.5801.c,5018e63a
grid.4305.2,27c0ae20
grid.419522.9,27c0ae20
grid.25697.3f,27c0ae20
grid.419522.9,413e7381
grid.424247.3,d21c87a
grid.418140.8,d21c87a
grid.438114.b,d21c87a
grid.424247.3,d21c87a
grid.464710.0,a08890
grid.224260.0,a08890
grid.419522.9,a08890
grid.418140.8,fee3f838
grid.4991.5,fee3f838
grid.5252.0,af3dd999
grid.5252.0,af3dd999
grid.10814.3c,667bfe48
grid.418832.4,667bfe48
not_in_grid,667bfe48
grid.7722.0,667bfe48
grid.418140.8,667bfe48
grid.7450.6,1fc02f13
grid.5963.9,1fc02f13
grid.14709.3b,1fc02f13
grid.14709.3b,1fc02f13
grid.418140.8,1fc02f13
grid.5361.1,916bdb58
grid.5361.1,916bdb58
grid.7450.6,916bdb58
grid.6936.a,916bdb58
grid.5252.0,916bdb58
not_in_grid,916bdb58
grid.411327.2,916bdb58
grid.419829.f,916bdb58
grid.22937.3d,916bdb58
grid.419801.5,916bdb58
grid.418140.8,8187a9fb
grid.5252.0,8187a9fb
grid.5252.0,8187a9fb
grid.418615.f,8187a9fb
grid.143640.4,8187a9fb
grid.266100.3,8187a9fb
grid.5252.0,976e3636
grid.5252.0,976e3636
grid.12380.38,2633b5ff
grid.12380.38,2633b5ff
grid.8664.c,2633b5ff
grid.418140.8,2633b5ff
grid.419491.0,c64445c9
grid.5252.0,c64445c9
grid.4991.5,c64445c9
not_in_grid,c64445c9
grid.424247.3,c64445c9
grid.419522.9,c64445c9
grid.9764.c,c64445c9
grid.5252.0,c64445c9
grid.6363.0,c64445c9
NA,fc198795
grid.418140.8,fc198795
grid.428999.7,fc198795
grid.4991.5,fc198795
NA,f4b32b64
grid.7450.6,f4b32b64
grid.268433.8,f4b32b64
grid.55460.32,f4b32b64
grid.461771.2,f4b32b64
grid.418140.8,f4b32b64
grid.5330.5,f4b32b64
grid.419522.9,d2f6b10c
grid.5805.8,d2f6b10c
grid.7450.6,d2f6b10c
NA,18c741c
grid.5326.2,18c741c
NA,18c741c
grid.4708.b,18c741c
grid.7450.6,18c741c
grid.266100.3,18c741c
grid.411984.1,e55c225b
grid.4488.0,e55c225b
grid.424247.3,e55c225b
grid.419522.9,749f97ac
grid.168010.e,749f97ac
grid.168010.e,749f97ac
grid.6363.0,749f97ac
grid.6363.0,749f97ac
grid.418140.8,efee3646
grid.418140.8,efee3646
grid.5335.0,efee3646
grid.5335.0,efee3646
NA,efee3646
grid.418140.8,7d9e09a
grid.418140.8,7d9e09a
grid.4305.2,7d9e09a
NA,7d9e09a
grid.8379.5,7d9e09a
grid.15078.3b,7d9e09a
not_in_grid,b1eae1a8
grid.7450.6,df598f8d
grid.7450.6,df598f8d
NA,df598f8d
grid.7450.6,3b1442ba
not_in_grid,ffa662e4
grid.5252.0,ffa662e4
grid.5252.0,ffa662e4
grid.5252.0,ffa662e4
grid.7450.6,f2a07223
grid.7450.6,f2a07223
grid.7450.6,f2a07223
grid.419514.c,f2a07223
grid.7450.6,f2a07223
grid.418140.8,6d771eec
not_in_grid,84be8f36
grid.4494.d,4722786f
NA,4722786f
grid.452410.6,4722786f
grid.452410.6,4722786f
grid.4494.d,4722786f
grid.13648.38,4722786f
grid.13648.38,4722786f
grid.13648.38,4722786f
grid.13648.38,4722786f
grid.13648.38,4722786f
grid.1957.a,4722786f
grid.461801.a,4722786f
grid.258676.8,4722786f
grid.10423.34,4722786f
NA,4722786f
